airport_1,airport_2,a,b,year_coeff,quarter_1_coef,quarter_2_coef,quarter_3_coef,quarter_4_coef,Route_Cost,nsmiles
AUS,IAD,21436572771.0,-0.012158872,-0.009039018,0.043330849,0.000154613,-0.019494155,-0.023991307,234.94394,1342
AUS,IAD,21436572771.0,-0.012158872,-0.009039018,0.043330849,0.000154613,-0.019494155,-0.023991307,234.5938,1340
BNA,IAD,3.7e-10,0.096112047,0.013684142,-0.009790509,0.042000671,-0.006708624,-0.025501538,102.76609,587
BNA,IAD,3.7e-10,0.096112047,0.013684142,-0.009790509,0.042000671,-0.006708624,-0.025501538,102.94116,588
BNA,PIE,7.74e-10,-0.027987132,0.012513206,-0.027371068,-0.001835952,-0.034451026,0.063658045,107.14284,612
BNA,PIE,7.74e-10,-0.027987132,0.012513206,-0.027371068,-0.001835952,-0.034451026,0.063658045,107.31791,613
BOS,GRR,3.07e-26,0.960331876,0.034154786,-2.78e-17,0.067533419,0.08413667,-0.151670089,129.5518,740
BOS,IND,909.8536166,-0.026060627,-0.000761097,0.074213243,0.007263893,-0.041812262,-0.039664874,143.20726,818
BOS,IND,909.8536166,-0.026060627,-0.000761097,0.074213243,0.007263893,-0.041812262,-0.039664874,143.03219,817
BOS,ORF,5.71e-08,-0.023410656,0.010823479,0.037242605,0.010689401,-0.026589986,-0.02134202,85.25909,487
BOS,SAV,8.4e-19,0.093016345,0.023508376,-0.047131624,0.089549517,-0.047276295,0.004858402,160.53919,917
BOS,SRQ,1.53e-15,0.016181239,0.01959646,0.049565489,0.070588151,-0.153771267,0.033617628,217.0868,1240
FLL,BNA,1.29e-14,0.238082647,0.019157516,0.053747284,-0.006823808,-0.070465354,0.023541878,141.10642,806
FLL,ORF,2.4e-09,0.182498123,0.012855805,0.026912573,0.010039928,-0.045680426,0.008727926,142.15684000000002,812
FLL,PBG,2.95e+33,0.025019371,-0.035780911,0.099047745,-0.076426708,-0.043660779,0.021039742,237.21985,1355
FLL,PBG,2.95e+33,0.025019371,-0.035780911,0.099047745,-0.076426708,-0.043660779,0.021039742,233.54338,1334
FLL,SWF,4.89e-08,0.034687113,0.010974968,0.025159823,-0.020985814,-0.03753094,0.033356931,199.40473,1139
FLL,SWF,4.89e-08,0.034687113,0.010974968,0.025159823,-0.020985814,-0.03753094,0.033356931,195.72826,1118
FLL,SYR,7.88e-06,-0.002291012,0.008364226,0.073975832,-0.021138716,-0.074992191,0.022155075,213.06019,1217
JAX,IAD,6.6e-13,0.093103813,0.016750457,0.018798366,0.02028502,-0.031421704,-0.007661683,116.07141,663
JAX,ORF,2.09e-18,0.304690039,0.023543035,-0.034676661,0.052379742,0.005663446,-0.023366528,95.76329,547
JAX,ORF,2.09e-18,0.304690039,0.023543035,-0.034676661,0.052379742,0.005663446,-0.023366528,95.58822,546
LAS,AZA,3.04e-07,0.021484407,0.009617592,0.018768016,0.019303764,-0.001479267,-0.036592512,48.31932,276
LAS,LAX,6.13e-16,-0.115067078,0.019287978,0.016447385,0.00146692,-0.027818684,0.009904379,41.31652,236
LAS,LAX,6.13e-16,-0.115067078,0.019287978,0.016447385,0.00146692,-0.027818684,0.009904379,42.0168,240
LAX,GEG,4.89e-14,0.113117534,0.018113138,-0.0229913,-0.004215502,0.017797183,0.00940962,168.41734,962
LAX,ICT,67.57276653,0.027113738,0.000619089,0.023036754,-0.009776458,-0.042162063,0.028901767,210.60921,1203
LAX,MEM,3098.19567,0.247684302,-0.000544504,-0.009817769,0.010901372,0.003044015,-0.004127618,283.43833,1619
LAX,MFR,4.42e-05,0.105063746,0.007752922,-0.061967066,-0.002218931,0.025458496,0.038727501,115.37113,659
LAX,MSO,1.13e-07,0.113540421,0.010701924,0.0,-0.051651814,0.051651814,0.0,163.69045,935
LAX,OMA,3.46e-11,0.061471697,0.014758776,0.00269027,0.004324566,-0.015404879,0.008390042,232.8431,1330
LAX,PSC,1.94e-30,0.240648151,0.036975828,-0.114092843,-0.015626466,-0.025125514,0.154844822,152.48597,871
LAX,SGF,62578924053.0,-0.106520659,-0.01004379,1.73e-18,0.017764873,-0.006465861,-0.011299012,249.12461,1423
LAX,TUL,9.48e-09,0.226004926,0.012427206,-0.034500838,0.011587571,0.002770602,0.020142666,224.61481,1283
MDW,SAV,1.69e-16,0.058429825,0.020721621,-0.023519123,0.068727779,-0.048528739,0.003320083,135.32911,773
MDW,TYS,8.52e-15,0.284177137,0.019003288,-0.029768968,0.021786611,0.016491186,-0.008508829,83.15825,475
MYR,SWF,0.163584559,0.247582446,0.003634024,0.007001933,-0.010149205,0.018439262,-0.015291991,105.21707,601
ORF,PIE,0.000512249,-0.085591174,0.005777873,0.010161982,-0.038122825,-0.024232628,0.052193471,127.10082,726
PHX,FSD,1.0300000000000001e-22,0.218521801,0.028269027,0.09538937,-0.027468872,-0.116587657,0.04866716,189.25067,1081
PHX,GEG,2.96e-09,-0.199436835,0.011787333,-0.046763917,0.014680973,0.036506894,-0.00442395,178.5714,1020
PHX,GEG,2.96e-09,-0.199436835,0.011787333,-0.046763917,0.014680973,0.036506894,-0.00442395,181.02238,1034
PHX,ICT,1.555792722,0.142611466,0.002756078,0.008484915,-0.012352639,0.0,0.003867724,152.3109,870
PHX,PDX,5.34e-08,-0.013796659,0.010845173,-0.008773961,-0.00448022,0.004670452,0.008583729,176.64563,1009
PHX,PDX,5.34e-08,-0.013796659,0.010845173,-0.008773961,-0.00448022,0.004670452,0.008583729,179.97196,1028
PHX,PIT,6.51e-26,-0.21608859,0.030868991,-0.022959364,-0.004939954,0.028587061,-0.000687744,317.57698,1814
PHX,PIT,6.51e-26,-0.21608859,0.030868991,-0.022959364,-0.004939954,0.028587061,-0.000687744,317.40191,1813
PHX,PVU,3.5e+28,-0.023330915,-0.030348888,0.038161198,-0.030173312,-0.060300383,0.052312497,83.50839,477
PHX,PVU,3.5e+28,-0.023330915,-0.030348888,0.038161198,-0.030173312,-0.060300383,0.052312497,83.50839,477
PHX,SGF,0.002069691,-0.277333283,0.00532331,-0.048783322,0.10597502,-0.07902136,0.021851569,189.42574,1082
RSW,SWF,4.35e-05,0.133622436,0.007739963,0.033276332,0.005451397,-0.082180514,0.043452784,196.0784,1120
SNA,GEG,2.91e-10,0.052748935,0.013644144,-0.016729745,0.005808845,0.012330104,-0.001409203,168.41734,962
SNA,MFR,7.52e-08,0.232266807,0.011145556,-0.060208017,0.012856995,0.022284868,0.025066153,115.37113,659
SNA,MSO,0.000177943,0.156948884,0.007185092,0.0,-0.061290085,0.061290085,0.0,163.69045,935
SRQ,IAD,2.85e-07,0.08479912,0.010195001,0.054262056,0.016919123,-0.128476119,0.057294939,154.0616,880
VPS,BWI,1.06e+19,0.092573017,-0.018859872,-0.05157827,0.029624188,-0.087172053,0.109126136,143.38233,819
VPS,IAD,3.29e-25,-0.157458168,0.03042051,-0.017111577,0.057868867,-0.050535826,0.009778536,143.38233,819
AUS,DAL,2.37e-37,-0.120902399,0.043960648,0.001388196,0.000313184,-0.003171215,0.001469834,33.2633,190
AUS,DFW,8.67e-25,-0.104912187,0.029722024,0.002472286,0.004032679,-0.016537321,0.010032356,33.2633,190
AUS,PHX,9.93e-05,-0.197174351,0.00658574,0.008291324,-0.004387932,0.024044111,-0.027947502,152.66104,872
AUS,BOS,2.33e+18,-0.038395626,-0.018392961,0.017426402,0.028398901,-0.023732874,-0.02209243,297.26886,1698
AUS,MHT,1.48e-16,-0.111836839,0.020618697,-0.014577407,0.03636491,-0.026789249,0.005001745,297.26886,1698
AUS,PVD,2.62e-15,-0.126334125,0.019128754,0.011148155,0.026241721,-0.030038363,-0.007351514,297.26886,1698
AUS,BWI,3.61e-12,-0.089544575,0.015490909,0.006676942,0.006759498,-0.008626314,-0.004810125,234.94394,1342
AUS,DCA,607520.9252,-0.138883616,-0.004240269,0.026972443,0.010371542,-0.022105267,-0.015238718,234.94394,1342
AUS,MDW,157197.131,-0.104056738,-0.003621186,0.039002042,0.013339225,-0.021268306,-0.031072961,171.04339000000002,977
AUS,ORD,3.711717935,-0.034036443,0.001893091,0.058314787,0.002221058,-0.044158902,-0.016376942,171.04339000000002,977
AUS,EWR,5.24e+25,-0.078705419,-0.026894298,0.060302834,0.021085036,-0.033958641,-0.047429229,272.93413,1559
AUS,HPN,1.22e+16,-0.006393037,-0.015612382,0.025082815,0.023808227,-0.039875175,-0.009015867,272.93413,1559
AUS,ISP,1.58e-06,0.1230748,0.009502609,-0.050950276,0.029511233,0.01795512,0.003483923,272.93413,1559
AUS,JFK,1.18e-06,0.054945504,0.00965158,0.001639049,0.024234723,-0.045197653,0.019323881,272.93413,1559
AUS,LGA,1372670000000.0,-0.039740607,-0.01126434,0.015058733,0.028447066,-0.022343088,-0.021162711,272.93413,1559
AUS,SWF,1.84e+20,0.076349524,-0.020341278,-0.02109511,0.033145035,-0.007149275,-0.004900651,272.93413,1559
AUS,OAK,1.47e-05,-0.072987601,0.007991403,0.023432554,-0.007852567,-0.017496713,0.001916726,263.30528,1504
AUS,SFO,1.747873433,-0.014598731,0.002389193,0.021030898,-0.005162485,-0.02038309,0.004514677,263.30528,1504
AUS,SJC,3.342029223,-0.145291751,0.001651229,0.008672382,0.014388924,0.003631806,-0.026693111,263.30528,1504
AUS,FLL,168916000000.0,-0.052014119,-0.010443594,0.04978416,-0.005924279,-0.059764772,0.015904891,193.45235,1105
AUS,MIA,265226.3939,0.037443315,-0.003429981,0.048343706,0.002442436,-0.06063952,0.009853377,193.45235,1105
AUS,BUR,1.63e-10,0.083920859,0.014035541,0.000362902,-0.013202033,-0.017474882,0.030314014,217.43694,1242
AUS,LAX,1.841352213,0.013570773,0.002362522,0.04991046,-0.010384643,-0.041806407,0.002280591,217.43694,1242
