Departure,Destination,Departure_IATA,Destination_IATA
"Sarasota / Bradenton, FL","Greenville / Spartanburg, SC",SRQ,GSP
"Sarasota / Bradenton, FL","Harrisburg, PA",SRQ,MDT
"Sarasota / Bradenton, FL","Indianapolis, IN",SRQ,IND
"Sarasota / Bradenton, FL","Knoxville, TN",SRQ,TYS
"Sarasota / Bradenton, FL","Lexington, KY",SRQ,LEX
"Sarasota / Bradenton, FL","Louisville, KY",SRQ,SDF
"Sarasota / Bradenton, FL","Minneapolis-St. Paul, MN",SRQ,MSP
"Sarasota / Bradenton, FL","Moline (Quad Cities), IL",SRQ,MLI
"Sarasota / Bradenton, FL","Nashville, TN",SRQ,BNA
"Sarasota / Bradenton, FL","Omaha, NE",SRQ,OMA
"Sarasota / Bradenton, FL","Peoria, IL",SRQ,PIA
"Sarasota / Bradenton, FL","Pittsburgh, PA",SRQ,PIT
"Sarasota / Bradenton, FL","Plattsburgh, NY / Montreal, QC",SRQ,PBG
"Sarasota / Bradenton, FL","Portsmouth, NH",SRQ,PSM
"Sarasota / Bradenton, FL","Roanoke, VA",SRQ,ROA
"Sarasota / Bradenton, FL","Rockford, IL",SRQ,RFD
"Sarasota / Bradenton, FL","South Bend, IN",SRQ,SBN
"Sarasota / Bradenton, FL","Syracuse, NY",SRQ,SYR
"Sarasota / Bradenton, FL",Washington D.C. / Dulles,SRQ,IAD
Tampa,"Akron-Canton, OH",TPA,CAK
Tampa,"Albany, NY",TPA,ALB
Tampa,"Allentown (Lehigh Valley), PA",TPA,ABE
Tampa,"Appleton / Green Bay, WI",TPA,ATW
Tampa,"Asheville, NC",TPA,AVL
Tampa,"Bangor, ME",TPA,BGR
Tampa,"Belleville, IL / St. Louis, MO",TPA,BLV
Tampa,"Bismarck, ND",TPA,BIS
Tampa,"Bloomington, IL",TPA,BMI
Tampa,"Cedar Rapids, IA",TPA,CID
Tampa,"Chattanooga, TN",TPA,CHA
Tampa,"Cincinnati, OH",TPA,CVG
Tampa,"Clarksburg / Morgantown, WV",TPA,CKB
Tampa,"Colorado Springs, CO",TPA,COS
Tampa,"Columbus (Rickenbacker), OH",TPA,LCK
Tampa,"Concord / Charlotte, NC",TPA,USA
Tampa,"Dayton, OH",TPA,DAY
Tampa,"Des Moines, IA",TPA,DSM
Tampa,"Elmira / Corning, NY",TPA,ELM
Tampa,"Evansville, IN",TPA,EVV
Tampa,"Fargo, ND",TPA,FAR
Tampa,"Flint, MI",TPA,FNT
Tampa,"Fort Wayne, IN",TPA,FWA
Tampa,"Grand Rapids, MI",TPA,GRR
Tampa,"Greensboro / Winston-Salem, NC",TPA,GSO
Tampa,"Greenville / Spartanburg, SC",TPA,GSP
Tampa,"Hagerstown, MD",TPA,HGR
Tampa,"Harrisburg, PA",TPA,MDT
Tampa,"Huntington (Tri-State), WV",TPA,HTS
Tampa,"Indianapolis, IN",TPA,IND
Tampa,"Kansas City, MO",TPA,MCI
Tampa,"Key West, FL",TPA,EYW
Tampa,"Knoxville, TN",TPA,TYS
Tampa,"Lexington, KY",TPA,LEX
Tampa,"Little Rock, AR",TPA,LIT
Tampa,"Louisville, KY",TPA,SDF
Tampa,"McAllen, TX / Monterrey, MX",TPA,MFE
Tampa,"Memphis, TN",TPA,MEM
Tampa,"Moline (Quad Cities), IL",TPA,MLI
Tampa,"Nashville, TN",TPA,BNA
Tampa,"Newburgh (Stewart), NY",TPA,SWF
Tampa,"Niagara Falls / Buffalo, NY",TPA,IAG
Tampa,"Norfolk, VA",TPA,ORF
Tampa,"Northwest Arkansas, AR",TPA,XNA
Tampa,"Omaha, NE",TPA,OMA
Tampa,"Peoria, IL",TPA,PIA
Tampa,"Pittsburgh, PA",TPA,PIT
Tampa,"Plattsburgh, NY / Montreal, QC",TPA,PBG
Tampa,"Portsmouth, NH",TPA,PSM
Tampa,"Richmond, VA",TPA,RIC
Tampa,"Roanoke, VA",TPA,ROA
Tampa,"Rockford, IL",TPA,RFD
Tampa,"Savannah, GA / Hilton Head, SC",TPA,SAV
Tampa,"Sioux Falls, SD",TPA,FSD
Tampa,"South Bend, IN",TPA,SBN
Tampa,"Springfield / Branson, MO",TPA,SGF
Tampa,"Syracuse, NY",TPA,SYR
Tampa,"Toledo, OH / Detroit, MI",TPA,TOL
Tampa,"Traverse City, MI",TPA,TVC
Tampa,"Tri-Cities (Bristol / Johnson City / Kingsport), TN",TPA,TRI
Tampa,"Tulsa, OK",TPA,TUL
Tampa,"Wichita, KS",TPA,ICT
Washington D.C.,"Asheville, NC",IAD,AVL
Washington D.C.,"Destin / Fort Walton Beach, FL",IAD,VPS
Washington D.C.,"Knoxville, TN",IAD,TYS
West Palm Beach,"Asheville, NC",PBI,AVL
West Palm Beach,"Cincinnati, OH",PBI,CVG
West Palm Beach,"Grand Rapids, MI",PBI,GRR
West Palm Beach,"Indianapolis, IN",PBI,IND
West Palm Beach,"Pittsburgh, PA",PBI,PIT
West Palm Beach,"Knoxville, TN",PBI,TYS
West Palm Beach,"Concord / Charlotte, NC",PBI,USA
